match_id,date,week_number,court,time_slot,team_a_number,team_a_name,team_b_number,team_b_name,set1_a,set1_b,set2_a,set2_b,set3_a,set3_b,winner_team_number,is_tie,raw_text_source,is_playoff
2026-01-07_C1_M1,2026-01-07,1,1,8:10,1,Tape Ticklers,2,Sets Up,15.0,25.0,17.0,25.0,,,2.0,False,"2 win, 15-25, 17-25",False
2026-01-07_C2_M1,2026-01-07,1,2,8:10,3,Casual Sets,4,Volley these balls,15.0,25.0,14.0,25.0,,,4.0,False,"4   15-25, 14-25",False
2026-01-07_C3_M1,2026-01-07,1,3,8:10,5,Spikachu,6,Double Nut Jam Jigae (DNJJ),25.0,22.0,25.0,18.0,,,5.0,False,"5 win 25-22, 25-18",False
2026-01-07_C4_M1,2026-01-07,1,4,8:10,7,Blue Dynasty,8,Sugar & Spike,17.0,25.0,21.0,25.0,,,8.0,False,"8 win 17-25, 21-25",False
2026-01-07_C1_M2,2026-01-07,1,1,9:10,9,Emerald City Tile Club,10,Pineapple,21.0,25.0,23.0,25.0,,,10.0,False,"10 win, 21-25, 23-25",False
2026-01-07_C2_M2,2026-01-07,1,2,9:10,11,Bean Machine,12,Raw Butt Sets,24.0,26.0,26.0,15.0,2.0,6.0,12.0,False,"12 24-26, 26-15, 2-6",False
2026-01-07_C3_M2,2026-01-07,1,3,9:10,13,Student Divers,14,Modelo,16.0,25.0,20.0,25.0,,,14.0,False,"14 win 16-25, 20-25",False
2026-01-07_C4_M2,2026-01-07,1,4,9:10,15,Block You-ah,6,Double Nut Jam Jigae (DNJJ),25.0,23.0,26.0,24.0,,,6.0,False,"6 win, 25-23, 26-24",False
2026-01-14_C1_M1,2026-01-14,2,1,8:10,8,Sugar & Spike,10,Pineapple,22.0,25.0,25.0,21.0,4.0,5.0,10.0,False,"(10 win) 22-25, 25-21, 4-5",False
2026-01-14_C2_M1,2026-01-14,2,2,8:10,3,Casual Sets,15,Block You-ah,25.0,20.0,25.0,16.0,,,3.0,False,"3 win: 25-20, 25-16",False
2026-01-14_C3_M1,2026-01-14,2,3,8:10,7,Blue Dynasty,11,Bean Machine,17.0,25.0,25.0,20.0,14.0,15.0,11.0,False,"11w,17-25,25-20,14-15",False
2026-01-14_C4_M1,2026-01-14,2,4,8:10,4,Volley these balls,14,Modelo,25.0,21.0,25.0,21.0,,,4.0,False,"4 win  25-21, 25-21",False
2026-01-14_C1_M2,2026-01-14,2,1,9:10,6,Double Nut Jam Jigae (DNJJ),12,Raw Butt Sets,25.0,22.0,20.0,25.0,7.0,4.0,6.0,False,"6 win, 25-22, 20-25, 7-4",False
2026-01-14_C2_M2,2026-01-14,2,2,9:10,5,Spikachu,13,Student Divers,25.0,17.0,25.0,20.0,,,5.0,False,"5 win: 25-17, 25-20",False
2026-01-14_C3_M2,2026-01-14,2,3,9:10,1,Tape Ticklers,9,Emerald City Tile Club,19.0,25.0,12.0,25.0,,,9.0,False,"9 win, 19-25, 12-25",False
2026-01-14_C4_M2,2026-01-14,2,4,9:10,2,Sets Up,10,Pineapple,26.0,28.0,25.0,27.0,,,10.0,False,"10 win, 26-28, 25-27",False
2026-01-21_C1_M1,2026-01-21,3,1,8:10,6,Double Nut Jam Jigae (DNJJ),13,Student Divers,25.0,21.0,25.0,18.0,,,6.0,False,6 win 25-21 25-18,False
2026-01-21_C2_M1,2026-01-21,3,2,8:10,4,Volley these balls,10,Pineapple,25.0,14.0,25.0,10.0,,,4.0,False,"4 win: 25-14, 25-10",False
2026-01-21_C3_M1,2026-01-21,3,3,8:10,8,Sugar & Spike,11,Bean Machine,25.0,19.0,25.0,15.0,,,8.0,False,"(8 win) 25-19, 25-15",False
