team_number,team_name,wins,losses,total_games,win_pct
1,Tape Ticklers,3,12,15,0.2
2,Sets Up,5,8,13,0.3846153846
3,Casual Sets,7,8,15,0.4666666667
4,Volley these balls,11,0,11,1.0
5,Spikachu,12,2,14,0.8571428571
6,Double Nut Jam Jigae (DNJJ),9,8,17,0.5294117647
7,Blue Dynasty,5,11,16,0.3125
8,Sugar & Spike,13,4,17,0.7647058824
9,Emerald City Tile Club,7,7,14,0.5
10,Pineapple,12,8,20,0.6
11,Bean Machine,10,11,21,0.4761904762
12,Raw Butt Sets,11,7,18,0.6111111111
13,Student Divers,3,14,17,0.1764705882
14,Modelo,9,8,17,0.5294117647
15,Block You-ah,2,12,14,0.1428571429
